instance,method,status,feasible,optimal,objective,best_bound,gap,time_sec
"MVPRP3_10_6_2","origin","Optimal",true,true,61956.330342,61956.330342,0.000000,8.701751
"MVPRP3_10_6_2","reform","Optimal",true,true,61956.330342,61956.310539,0.000000,9.755003
"MVPRP3_10_6_2","lbbd_no_init","LBBD_Converged(iter=14,feasCuts=0,optCuts=12,lpDualCuts=35,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,61956.330342,61956.330342,0.000000,59.530078
"MVPRP3_10_6_2","lbbd","LBBD_GlobalTimeLimit_NoIncumbent(iter=0,feasCuts=0,optCuts=0,lpDualCuts=0,incPruneCuts=0,targetPruneCuts=0)",false,false,NaN,NaN,NaN,639.730175
"MVPRP3_10_6_3","origin","Optimal",true,true,67083.070798,67083.018532,0.000001,181.552694
"MVPRP3_10_6_3","reform","Optimal",true,true,67083.070798,67083.016150,0.000001,99.973506
"MVPRP3_10_6_3","lbbd_no_init","LBBD_Converged(iter=22,feasCuts=0,optCuts=20,lpDualCuts=58,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,67083.070798,67083.070798,0.000000,19.856063
"MVPRP3_10_6_3","lbbd","LBBD_Converged(iter=21,feasCuts=0,optCuts=19,lpDualCuts=55,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,67083.070798,67083.070798,0.000000,50.589840
"MVPRP3_10_9_2","origin","Feasible",true,false,94099.166050,93437.002302,0.007037,600.016562
"MVPRP3_10_9_2","reform","Feasible",true,false,94099.166050,93377.188911,0.007673,600.019322
"MVPRP3_10_9_2","lbbd_no_init","LBBD_Converged(iter=39,feasCuts=0,optCuts=37,lpDualCuts=94,lpDualSkips=0,incPruneCuts=0,targetPruneCuts=0,masterStatus=Optimal)",true,true,94099.166050,94099.166050,0.000000,309.694357
